id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,3.92455118119e-11,1.75635109005e-10,7.75208529371e-14,6.5556522662e-08,8.33222650927e-10,4.36759482806e-10,2.47341716304e-14,4.883292093e-13,4.59005880643e-13,1.88723760382e-08,2.03230316389e-08,2.01099701248e-13,8.20218669137e-14,1.21287648416e-10,2.6446969872e-09,1.41683599375e-10,1.74888795007e-06,1.17041825259e-14,5.27591737164e-10,2.20261095393e-12,2.10426639251e-08,2.91373547856e-10,3.33709202433e-08,3.32959689358e-13,1.74596790944e-13,2.49475918652e-12,5.32072594257e-06,2.26982162633e-08,3.95397357314e-11,7.50095831888e-12,2.30623149623e-19,3.31052504643e-06,4.06666332764e-07,3.61404588886e-07,2.21496676421e-12,1.31529419833e-08,2.38531407801e-11,3.43809919418e-19,1.22476281977e-10,1.47724696701e-12,4.56874810521e-18,1.49546235487e-08,2.09567368674e-10,3.04308643467e-13,2.53359793267e-08,6.46237911499e-12,1.15656230953e-05,1.35396320224e-17,3.23425792587e-15,1.7886156204e-09,2.17896824767e-09,0.999930564933,6.27794889481e-13,7.88801325261e-08,4.67479025285e-09,1.71616369239e-06,1.45949043338e-06,7.57301479003e-16,2.40297958905e-15,3.16968288057e-11,1.85687984104e-10,9.57761816604e-11,1.80802290597e-10,2.90169550615e-10,7.76422587517e-06,6.97090671271e-10,4.37719289671e-09,4.91120248345e-18,3.88183268778e-13,1.21735390311e-11,3.81396243689e-14,4.69204708466e-14,1.04624861531e-07,2.49105469471e-15,3.58030771967e-06,1.60839829061e-06,9.05314137652e-16,2.23286452902e-09,9.05868085439e-06,5.66686041377e-11,7.24397025487e-09,1.05509769196e-16,1.17087012971e-18,1.44261914365e-05,3.73238134214e-06,1.18279654311e-15,4.35113278875e-16,9.14581706879e-17,2.71797038162e-06,1.37942613101e-15,2.60256965372e-10,5.76542878194e-11,1.66797528754e-12,1.43044987758e-10,2.07647371919e-13,2.05440779895e-14,4.61245882003e-15,2.08468926708e-07,1.19267030804e-12
7,1.43295417225e-10,5.6648571179e-10,1.51930432163e-08,2.18764633858e-07,2.0045455935e-10,7.92690016968e-10,1.8030676663e-06,1.30603667816e-10,2.75499592243e-10,1.00213839971e-09,4.37438742058e-13,9.70844982384e-12,4.59160098641e-12,5.52165268165e-11,1.79250735617e-10,2.29906863893e-10,1.79234578449e-11,2.61658048928e-08,2.50582071463e-11,1.82498733384e-07,7.54691660239e-10,4.22610262701e-12,1.74561983562e-10,9.67093110279e-12,8.14858844158e-11,4.26708099692e-11,8.54700411503e-09,2.2849310547e-08,1.92531259718e-10,1.98571875133e-13,8.54312066203e-10,1.43597692471e-09,9.57386253925e-10,2.3915914397e-11,1.12578059608e-08,4.00784610238e-12,4.9540505845e-07,4.45124191579e-11,1.17187612079e-08,4.50542782787e-08,1.17499960748e-08,9.11985954742e-09,1.72184228623e-08,1.07677784856e-08,9.5168480802e-11,9.92937305821e-08,9.21474353424e-14,2.15321743504e-06,1.39721412042e-10,2.78003854243e-12,0.999992209666,1.18751793787e-10,2.82422117951e-10,8.52746873825e-10,3.16962315964e-09,2.84140478015e-08,4.95784381702e-12,6.56982249775e-09,7.15100150236e-08,3.28799814039e-08,1.78259900798e-08,2.37140261191e-09,4.54034418642e-11,8.48328564419e-08,3.69473813257e-14,7.13408101631e-11,7.11799184254e-12,4.16440341534e-10,4.6698911276e-09,4.39901492735e-07,1.02911242173e-13,1.21418120647e-12,4.58821530083e-11,4.1479059918e-10,6.24339623447e-16,5.25463660619e-12,7.86575112928e-07,6.93430427568e-10,1.39344552277e-09,3.04316003208e-09,1.35515183505e-10,8.44285126041e-10,5.9681107345e-08,2.85779485816e-08,8.06683841709e-08,1.73875363926e-08,1.56648336058e-08,1.38338197002e-07,2.50135240052e-14,3.22339888615e-09,1.02442189264e-08,5.35595023251e-12,2.27217448254e-12,8.43711206528e-16,2.23948170621e-07,1.18293913889e-09,5.71887786829e-07,1.02632661023e-11,2.07482804325e-09
9,6.78813641975e-08,0.998267483729,4.98436261979e-08,3.25014137875e-08,0.00142773715364,1.84998265434e-06,2.61665346842e-08,5.30900632955e-06,2.45594469102e-05,2.12604888304e-05,8.36739980613e-09,1.983722561e-05,1.04280467962e-08,9.22863428698e-08,1.21558244984e-06,1.94717690398e-06,0.000143838662409,1.26158259499e-10,3.41922775826e-09,3.41113734046e-06,1.16559161072e-08,6.16843831372e-08,4.15362215526e-11,3.44590742972e-11,1.06104930423e-11,5.55291043325e-06,5.29073480363e-06,2.12249181776e-11,1.04430290699e-09,4.01844728549e-10,2.74248576186e-11,1.18058340646e-08,4.14605150347e-06,1.70379520866e-06,1.27068803581e-11,3.9499069785e-06,4.19372241453e-10,5.60909594016e-12,1.08726823803e-10,6.93713510502e-07,1.37733296785e-11,1.21170107672e-08,1.7055493562e-09,6.12885626034e-11,8.81259714434e-08,1.5642885805e-10,2.06071909e-10,1.99667321352e-09,5.21547578947e-07,2.00545859387e-07,4.91253391612e-09,6.12175466275e-11,1.75162289143e-09,1.38306162478e-07,3.44256666913e-08,8.4999419271e-09,2.15565144007e-06,1.21372111465e-10,2.36445652047e-12,7.0213740213e-10,2.56432992269e-07,5.27017783554e-11,3.85072273245e-08,1.19252412211e-07,2.80916612178e-09,8.21257620343e-09,1.30455007175e-08,1.07092459755e-11,5.70710004914e-12,3.64811734685e-09,6.63597722871e-10,4.56253598228e-09,1.22517145504e-08,2.24991608767e-06,3.28392195247e-08,2.41536703396e-08,4.0947227539e-11,3.61448872455e-08,2.89553209789e-07,5.89447832219e-09,3.74517587372e-08,8.74811187441e-14,2.02531615128e-13,9.59090264141e-09,2.33396282966e-07,6.60875779674e-06,7.44894943759e-10,4.16131324812e-09,1.19289268653e-09,1.26934036355e-07,3.95394041956e-09,2.27157485639e-08,2.40042501501e-08,1.55909146832e-09,5.75846378955e-09,1.05394226023e-07,5.30941331088e-11,2.96924743891e-09,4.63774550504e-05
12,1.25310555031e-10,0.000272527772501,6.77342538288e-09,9.57690684289e-10,1.57475862991e-08,1.81787781971e-10,3.0131015377e-06,1.96681083233e-07,9.35370803182e-06,5.03615278012e-06,3.29297810329e-11,8.48873720735e-08,2.5174349144e-06,0.000127834870064,1.51690774742e-07,2.93473836847e-08,1.22729488729e-09,3.59256219837e-07,7.80540627999e-11,0.99856478951,1.55504208789e-08,3.26421352222e-12,1.32389910141e-08,3.91556132471e-13,9.13133297706e-11,1.06412848113e-10,8.25909693614e-07,4.03421901511e-10,1.31037192438e-12,1.48505977307e-13,4.66724752502e-12,1.94356698435e-10,2.03209862306e-08,1.71132597725e-09,2.70750969389e-12,1.70181856059e-09,2.1553387855e-06,7.19213116843e-09,2.53171092587e-11,1.29145419196e-08,7.59629800567e-11,1.71737979379e-05,1.20118119977e-10,5.79288758137e-10,1.00697061231e-09,2.48483521745e-09,1.60195264477e-12,9.39804263874e-05,9.65986587566e-07,9.44391432592e-12,8.02567073038e-08,1.49514499809e-12,3.03748401233e-09,1.32717708931e-09,3.88783023759e-09,3.26965064478e-09,8.83262073989e-13,2.26050213467e-09,2.08128153875e-08,2.79457055418e-09,1.98370850407e-08,8.37859500744e-12,2.22756595254e-08,6.86630801654e-07,1.64295433651e-13,2.46181745151e-09,3.70883576168e-11,4.63894543514e-09,7.7886807903e-11,1.1489082016e-13,1.30467465637e-11,4.15841965195e-11,5.78457666344e-12,1.05236013282e-08,7.00957008644e-13,1.93421974458e-10,2.61121024691e-09,1.02938119844e-07,3.37701789441e-08,2.12368614449e-09,1.17134256432e-06,4.34874068059e-12,3.78763377232e-08,6.18087034127e-11,1.04366892509e-09,6.79031229119e-06,1.82335578658e-08,3.03059880961e-09,3.88778884004e-13,5.29233356372e-08,3.09652917991e-09,6.70319536713e-09,6.18942277649e-09,8.44896289626e-11,4.14888961683e-08,0.000877586737502,3.05892211008e-09,3.22085848048e-10,1.21729141788e-05
13,6.66314982296e-08,4.68688802763e-08,1.19161672664e-10,5.06511158825e-12,2.18036356059e-08,8.36344958998e-11,1.86890040723e-08,1.38681465522e-09,2.93628327689e-06,1.03902871405e-07,7.78390910436e-10,6.06255373696e-05,4.16372686862e-08,3.49739900603e-07,0.999925173313,1.69729853391e-08,3.0247961162e-06,8.77251805199e-10,2.93362784937e-09,2.83701200313e-10,1.8504330899e-07,3.34174290772e-12,6.96082431549e-09,2.81827945256e-12,9.8847545333e-11,2.14540017769e-10,4.26857612334e-07,2.0221512789e-11,3.3490400195e-12,3.43435003278e-13,6.94002965107e-13,1.33520295498e-12,1.12603234034e-10,3.60526989263e-09,2.01030037728e-13,1.40616736256e-08,1.48719353187e-11,5.59062478166e-15,6.59901625534e-10,1.90044257025e-13,7.70693153405e-14,1.98497529599e-10,2.05862837329e-11,2.7041128718e-10,1.6667019727e-11,5.56557517715e-14,6.24844112117e-12,1.96236490315e-09,1.43149599386e-06,1.78054669636e-06,1.47428224812e-11,1.50157330431e-12,2.00938285184e-09,7.88640871535e-09,2.04497965413e-09,3.46238548415e-12,1.97421295495e-11,6.08442699078e-12,3.17073949255e-12,1.10019221932e-09,8.19049221254e-10,3.1426094344e-11,2.11609014908e-10,1.43890448807e-08,4.79668670325e-12,6.85293674252e-12,2.66479173678e-10,2.5235037454e-13,9.9507692972e-13,4.51836519581e-11,1.13377014311e-10,8.79074983124e-09,1.37593851417e-11,1.04213576601e-10,3.3674633909e-09,2.73674740972e-10,1.84458237155e-12,6.57851381749e-09,1.49648894317e-08,3.51668301428e-08,2.4334081098e-09,1.75220220168e-14,6.99297787263e-13,1.12983409004e-08,1.03521670683e-09,7.81937283431e-11,5.57084060457e-11,8.64635158061e-13,2.54216316565e-11,3.68692294664e-08,4.47854045284e-11,3.16465263909e-07,3.41887836772e-10,2.70094613993e-07,2.57599875891e-07,2.71290880998e-06,9.16742775919e-10,2.85339178323e-09,3.91385310129e-09
16,2.0176996493e-05,1.26325617015e-06,9.45525342685e-06,0.977024152202,1.09358989689e-06,2.22954678394e-07,2.4334081496e-05,1.7006326482e-05,1.46507696855e-06,1.79580480161e-07,2.59521041382e-06,4.9049401655e-07,2.02635344714e-05,1.27696188954e-06,7.2178444683e-06,3.20220449021e-06,3.72266928826e-07,2.1631190863e-05,7.66035126914e-06,0.000156486936783,1.26012819017e-05,3.89848739321e-07,8.36475062309e-07,1.76365902933e-08,1.38396797633e-05,6.83173655684e-06,0.000131733737188,6.0710977622e-06,1.10688745784e-06,2.92549831034e-10,8.45017926936e-06,3.59506151332e-06,2.77378756153e-05,6.70361734264e-07,5.66481532527e-06,6.36793274779e-07,5.79180997163e-05,4.29699657098e-08,2.13545018542e-06,4.08265386639e-06,4.80791379717e-06,0.00011963386217,5.07707634169e-05,0.00380938320373,5.38061978916e-06,9.05276661598e-05,3.11364063156e-08,2.36926609903e-06,7.53688059398e-08,3.40991130178e-06,4.77179812725e-05,2.02674810286e-07,0.00151870385573,8.81615523234e-07,1.25748790288e-07,2.45002662317e-06,1.0035231255e-08,2.1093139953e-05,0.000301953911359,1.25392567367e-05,4.53634720526e-05,1.62190195522e-07,6.46341784227e-05,9.02319482735e-06,5.4902381895e-10,8.96470584234e-06,1.44740436409e-07,3.3830210721e-05,5.08064786811e-05,2.70298030575e-05,4.33600483696e-08,1.24163498221e-06,2.4764817892e-07,2.19462510006e-05,6.38985084718e-11,1.11709968735e-06,2.06903948225e-05,1.03849112817e-05,2.59131559873e-08,4.7272402093e-05,4.01138911852e-09,5.01148658437e-05,5.44443580247e-07,0.000153572989562,2.00972208324e-06,0.000243686694176,0.0150938195691,3.2462326039e-06,3.84719649991e-09,8.9824993502e-05,8.71086557966e-05,6.01834048027e-06,1.59990748664e-06,8.73008621377e-08,0.000222055231025,1.23912618276e-05,3.63669196171e-05,1.78556178507e-05,3.97829886671e-05
19,5.4942084574e-06,6.51599675337e-07,3.27935702693e-06,0.999323111122,7.15554061535e-08,3.87010978544e-08,2.07724653332e-06,1.03329941747e-07,7.48738511054e-08,2.97960881526e-08,8.79932756256e-07,1.35864233834e-08,1.33048090951e-05,3.61650806742e-08,1.78806408087e-07,2.55157508623e-07,1.25386879774e-07,1.14468302291e-07,3.01676435049e-07,7.82566290708e-06,4.1092223905e-06,5.34844694023e-08,1.3384156872e-08,7.73753916284e-09,5.08892348749e-07,1.84494541291e-06,5.73274467485e-07,5.30932812863e-08,2.95765612973e-07,3.42379005265e-10,1.08503487675e-06,3.33986843516e-06,8.3743103105e-06,2.13965140865e-08,1.79327254216e-07,3.61371203939e-08,4.40814312293e-06,1.05373659009e-08,1.15434770082e-06,2.9644748238e-06,1.11605385794e-08,5.99263679427e-06,8.67374746603e-07,3.1431603858e-05,6.21645438984e-07,6.81152123734e-06,8.43537774069e-09,1.21973320639e-07,1.00027364278e-08,6.03852456216e-08,0.000162780913526,1.34223222398e-07,2.96526309937e-06,3.00963228639e-07,1.39082107766e-08,4.49801215976e-07,1.77668334589e-08,2.07208180467e-07,8.89206842252e-06,8.06440585732e-07,5.86992237885e-05,1.75884872469e-08,5.89964058385e-07,6.13741637009e-07,2.32301813557e-09,1.88294565385e-05,6.83133981587e-09,2.34320135967e-07,1.94567398693e-05,3.89581100941e-06,2.2692721034e-09,1.87017000915e-08,1.04526243021e-08,1.03450262535e-07,8.40493340546e-12,3.42003691991e-08,6.33832211608e-06,7.96599286567e-07,9.85965810983e-10,5.47513748262e-06,1.10775858092e-09,5.53201152321e-06,3.89503705817e-08,3.37287082363e-07,2.27356578425e-06,2.2519227819e-05,1.42107449217e-05,6.15222799368e-06,2.30742115964e-11,1.08773629919e-06,1.32714608742e-05,7.59624983021e-07,1.25817585045e-07,1.4406805203e-09,0.000125720941844,1.24734581839e-07,2.03063414932e-06,1.63766449749e-07,8.1016111912e-05
23,4.84318745674e-10,1.03065722115e-06,1.71802922207e-06,6.53575303624e-06,1.48292221777e-07,9.37354588005e-05,3.63682041491e-06,1.11146790578e-08,1.30391581459e-10,3.51492432536e-08,4.09232913925e-11,7.24036945306e-08,1.55290847699e-08,2.64021824512e-09,3.59872349061e-09,0.000172329445621,1.46093494083e-10,2.95792231436e-09,6.25213398905e-07,1.31179328237e-07,8.00192536822e-06,3.65915126204e-08,9.33239268373e-08,7.55670298144e-07,9.92280544456e-07,1.50279561318e-07,6.416786538e-08,2.23608303782e-08,0.998824544477,0.000749855927993,3.95442967224e-05,3.22966302648e-10,8.55596270704e-08,2.03860019229e-08,5.03813440675e-08,2.9882082047e-07,1.1287633262e-08,1.92665403868e-07,2.42162332806e-08,6.42287343215e-07,5.32976623355e-10,2.61908703411e-12,3.04090330972e-05,1.57554671331e-08,5.39972766884e-09,9.96666144871e-10,6.51933386166e-11,1.43789505335e-10,9.8216163574e-11,5.25634343269e-09,4.85894362372e-08,8.57709885779e-08,2.85467889353e-09,3.3914631104e-09,6.81721874287e-08,4.49645110955e-05,3.35380682688e-07,4.08005971951e-08,4.65358765865e-11,4.9569964817e-09,1.929475895e-07,4.00923081695e-07,7.9560587013e-08,3.18937584282e-08,4.75481502187e-11,2.34239216236e-07,1.30497666655e-06,2.19980191976e-08,6.33621025067e-09,2.62619339375e-06,3.24401922734e-06,1.1634090973e-07,1.05446200303e-07,6.04059869475e-07,5.99010614755e-13,3.73170147324e-11,3.39221962136e-07,2.76243223501e-08,5.65953949775e-10,1.64357423227e-06,1.04517349544e-06,2.20190930913e-07,1.32947109492e-10,6.57675446091e-12,3.45820478117e-07,7.45779431451e-10,3.90112069147e-09,4.06120669771e-06,6.46714948238e-10,7.32308679789e-09,6.64243293106e-08,1.29543351879e-08,1.20031178221e-08,1.51271481926e-09,6.24953403854e-11,4.82990722332e-11,6.12039285289e-08,3.39223074587e-10,1.76626488422e-06
24,6.95024589411e-07,1.35148991314e-08,2.19207233245e-09,1.21786712908e-10,1.74400998162e-09,3.76899751944e-07,3.24856319634e-10,2.10093125446e-12,6.35293506495e-08,9.40136419585e-10,1.27762908455e-09,2.10179724573e-11,9.54644705031e-12,1.56210445396e-11,5.25984327213e-11,7.51159809531e-09,8.81033381735e-09,4.41797057762e-10,2.6248566029e-12,2.15655561468e-10,3.70546923161e-08,7.7437021549e-11,2.91244121719e-15,5.78721091265e-11,3.68303585375e-14,1.91835962625e-10,1.1320509537e-07,7.53022920996e-10,1.37774313369e-14,8.87036572258e-13,6.13821468921e-15,6.70890482129e-08,6.25451829589e-08,7.05575783495e-09,5.54380932619e-09,5.32680918438e-12,2.56080808634e-11,2.46602058646e-12,2.16933927153e-08,2.60016674449e-08,1.0934619001e-12,8.20607043715e-11,7.12643263496e-10,7.5883588903e-12,3.64717051018e-10,2.91562393913e-09,1.01626197516e-13,9.91163855916e-12,4.98358294819e-15,2.86595270824e-10,1.13880343791e-10,1.59130796727e-08,2.20518966335e-13,9.22662445678e-15,1.58817659747e-10,1.41735446186e-10,1.05380788196e-12,5.58251826963e-12,5.24446709805e-09,3.33798894621e-07,2.28281387091e-09,3.97960205422e-11,5.42765951199e-12,6.80273448888e-11,7.48364259034e-12,1.02743883404e-10,4.92014765319e-11,3.43215142883e-15,9.88360456668e-11,2.08335040587e-07,5.35905646903e-13,3.95795439647e-13,4.10479053191e-08,1.98685963669e-13,9.48330484466e-11,4.15079570824e-11,4.07115544367e-12,6.03373177941e-10,8.16454558588e-09,1.10017544436e-08,6.00829137136e-12,4.80406060498e-12,2.05496491795e-11,2.79076692839e-08,0.999997805837,1.16147850526e-11,5.21373136249e-14,3.80332461084e-11,9.09548376045e-13,8.92100380919e-10,2.37772921974e-11,1.0873426201e-11,2.4634214962e-12,1.70730131203e-14,1.95644169446e-08,4.99524114161e-12,1.83819030306e-13,5.33600686775e-12,7.710847167e-12
28,3.13328636916e-06,1.55456781758e-06,9.97785980171e-09,1.17356070259e-07,7.26965996676e-08,6.28689574277e-09,6.91297708489e-07,9.27320969275e-06,0.99996723724,5.1101546629e-08,8.99566040231e-07,5.31834336457e-07,2.69503178139e-06,5.89105085213e-08,1.17142018153e-06,9.21269616495e-08,5.74949614361e-07,8.68597928894e-08,6.1755462449e-09,1.03759516228e-06,3.39766337314e-08,3.96253332148e-11,4.10754175154e-10,4.27826599551e-12,3.7172158545e-11,5.58100545966e-10,4.07761612172e-08,2.39860257442e-11,2.52769307376e-11,4.31241161381e-13,9.28942858097e-12,2.1831106521e-09,3.10825043921e-07,8.56097634692e-07,1.19319937816e-11,8.37708243862e-08,4.84895134599e-09,3.67982277972e-11,1.29598151432e-11,1.99995938459e-08,5.82037288906e-12,4.40126992665e-08,5.00562355576e-10,8.8575108891e-11,2.8906863199e-08,1.04612473858e-09,9.91507406263e-11,8.38111282429e-10,1.02332388467e-07,1.59818552307e-08,2.06587948365e-10,6.06323689991e-12,4.54834155031e-09,1.41759587199e-08,2.38081540917e-08,4.65730055151e-08,1.91818467995e-10,1.94376189126e-11,9.80900603186e-11,1.38226757472e-09,1.11747288319e-08,4.76232253097e-11,3.002901986e-09,2.97650248793e-09,3.74531311763e-10,7.26739762948e-09,9.88553179587e-11,9.93367150998e-12,6.85094902808e-10,9.03370523053e-11,2.24804528579e-10,2.24877710517e-10,2.80037214951e-10,2.22630150232e-09,1.6233040627e-09,2.68523580063e-09,1.15958736818e-10,3.52826168357e-09,6.36148321764e-08,9.45316301504e-10,9.97451747707e-09,3.92913342316e-12,1.47914699639e-10,9.8847121516e-09,4.37821294978e-07,3.23758395065e-08,4.4806880336e-08,3.31136081829e-10,8.20247308597e-12,4.06395815133e-07,1.16024676987e-08,2.66581945798e-07,3.8952975867e-08,2.07098125043e-07,7.22442844564e-06,2.47854873249e-07,9.0737433273e-13,1.84157364773e-10,2.03878810064e-08
