id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.75451999121e-14,2.77583136496e-15,7.27853346209e-20,1.05216512586e-11,1.00663707852e-14,2.92784161715e-13,5.71805059321e-18,1.79344072632e-17,2.45959990656e-13,1.39859654348e-13,9.23400895678e-14,6.39858945395e-18,4.49199274918e-15,2.01188734705e-16,2.23475600004e-12,3.33898253285e-14,8.40734860202e-12,2.34665746564e-17,4.66114607578e-14,2.19539835029e-19,2.14832127782e-11,6.76636440986e-16,3.5492917199e-12,1.09077739809e-16,2.81712549169e-15,6.1174731154e-16,2.67311398711e-11,6.46487767833e-12,3.77422871873e-14,1.34146301923e-14,4.88245844564e-20,1.64693078619e-10,4.88108848045e-13,9.45637387839e-11,2.16182798117e-15,2.15086100514e-13,2.43599465686e-13,2.51278210682e-15,3.95809383533e-12,1.73711999646e-12,5.34814432374e-16,1.25842253285e-10,2.19024271782e-14,2.71259506149e-15,4.44958279206e-13,3.43989092311e-14,9.78172987054e-10,3.72543660407e-18,9.40341673207e-16,6.13390343699e-15,6.93829867691e-13,1.0,1.58742299061e-16,3.06246998247e-13,2.7548037297e-14,9.21911713636e-11,1.78407393026e-11,4.08312299432e-19,5.28132189454e-16,8.79017453444e-13,2.08181318321e-13,9.40018847775e-16,3.46827084671e-15,3.96368051228e-14,3.3188299331e-10,1.39505250681e-14,1.9683838164e-13,1.95621267844e-20,5.73726458933e-15,1.80294384836e-14,6.24055080766e-18,7.42225359407e-14,7.64099937836e-13,2.64123232648e-21,1.86912583189e-08,1.694171331e-10,3.57214274849e-17,1.21196117378e-11,2.79692291549e-09,2.19198116824e-14,6.35652077849e-12,2.04190923872e-17,6.87198236683e-14,3.5574776458e-09,8.82720119222e-10,9.83230096268e-19,6.67164901199e-19,1.57832704169e-19,3.56440155169e-11,1.53267749761e-17,1.30965659324e-13,4.55374616053e-13,6.2116969281e-17,4.99507458508e-14,4.75670198014e-16,2.23306195153e-18,1.91572251057e-19,4.14363848789e-10,1.09259146411e-19
7,7.40005252171e-16,1.03860638893e-15,3.65030847617e-14,9.20659989218e-12,2.68335136645e-18,1.72034814102e-14,4.42304667284e-13,3.73926453274e-16,8.30760703184e-16,5.56117109828e-15,4.71354189607e-19,1.47877021981e-18,2.16988913417e-17,4.25950846318e-15,2.65812004332e-15,2.13899853742e-15,9.57560324395e-18,3.4210091357e-13,1.03744520933e-17,6.23205514971e-11,1.00198498563e-16,3.80280312109e-16,3.49384249345e-17,8.02856787614e-18,1.18172173745e-16,4.69378882305e-18,1.22022259918e-12,2.16488025423e-12,5.90610256556e-14,1.56813211302e-17,3.95741543309e-15,1.32279060142e-14,8.46351403369e-16,8.70466146827e-18,5.28395209531e-12,8.66667743148e-21,4.44213527073e-10,3.10977961013e-15,7.63510643598e-11,4.68431612943e-11,3.70043449008e-12,8.54569609521e-11,1.72879453808e-11,4.00876250597e-12,1.02532775782e-16,2.81046505513e-11,3.85853385238e-17,6.73053079936e-08,1.10540905856e-12,1.45826741095e-18,0.999999880791,1.70146449013e-13,2.68265715631e-13,7.75881041273e-13,3.39420548959e-13,3.16842906078e-12,7.88751235956e-15,9.14139301907e-14,4.09564257509e-11,2.83657618878e-13,4.18693569669e-14,3.23053982687e-15,1.33250669633e-18,4.49932417712e-11,3.35912567513e-16,1.43053111443e-18,1.17048433662e-14,6.9199334949e-15,4.76711985858e-12,1.61890434391e-09,5.35895149561e-22,8.24081901334e-16,1.87126816492e-17,3.15929233873e-16,1.80250861107e-16,5.00145638541e-16,2.24551252592e-10,6.47120847373e-15,3.59423835096e-13,3.75691394227e-13,6.82245804447e-14,6.59905290135e-12,3.41439154727e-10,2.26655416657e-10,8.06066151327e-12,8.62679678669e-14,7.75239030956e-13,1.76394551743e-10,3.32966459537e-18,5.87399137712e-15,9.51001105122e-13,5.00314713431e-19,1.0554278677e-17,1.22911130221e-22,6.73286643452e-12,4.38592728352e-15,8.40740725736e-13,2.23222933634e-16,1.34802561874e-15
9,4.63167210748e-13,0.999999880791,1.36652700874e-12,5.04358282458e-18,1.01044939527e-07,7.82005918354e-11,8.22069700453e-15,3.94911230453e-12,2.54715026848e-10,3.4212493949e-10,7.21598802711e-15,7.51272488664e-10,1.25677674986e-14,1.43123902487e-13,3.92658926207e-11,5.45941958308e-10,2.1354096269e-09,6.28223293504e-17,3.61141433259e-15,6.9284300519e-10,2.09111829415e-12,4.53260476027e-12,1.21415539e-17,2.36810586187e-16,5.56829243844e-19,2.27483721964e-12,3.10006936788e-10,4.65097684967e-18,1.62190749655e-14,1.39998432226e-13,1.45808675057e-14,9.30148796357e-16,2.41869996254e-11,9.89569076638e-14,7.40343721243e-17,4.96128615621e-12,1.41698738848e-16,4.80833851468e-13,8.16325970037e-15,8.16626280487e-12,1.10541957532e-12,6.57923964874e-14,2.72294135719e-15,2.29286541409e-17,6.51643886844e-16,6.39451707836e-17,2.94796189491e-18,6.04985625399e-13,2.64532796709e-12,4.6999618688e-14,1.76233939704e-16,3.75491664282e-16,1.07319827151e-17,6.50464789453e-14,2.35966465551e-13,1.06195538152e-15,1.41746128723e-11,1.32801213602e-16,3.77816068273e-18,2.84327361053e-15,3.83736729312e-17,3.00540586614e-18,4.36282815242e-17,1.09064788993e-13,7.9517226137e-12,5.64241511044e-15,1.12657601211e-14,1.53740791606e-18,2.89174030638e-16,7.70421459918e-14,5.19871087707e-15,8.26902701043e-14,2.37203995934e-15,5.43454213922e-12,4.53008073761e-12,2.04334480075e-15,3.99908818354e-15,1.98651672504e-14,3.94773765815e-14,5.28897712023e-18,1.93550240397e-13,5.39712064557e-18,5.91942675381e-16,7.1424523324e-16,3.74814068671e-12,4.25940359372e-11,1.2255326803e-17,3.2671779236e-13,2.77060495992e-15,3.96996915593e-13,2.78842584492e-17,4.01082128393e-15,1.17806316392e-15,1.36902420078e-15,4.66577351841e-13,6.34517883114e-13,1.14051513966e-17,7.563156339e-15,8.46648262609e-09
12,4.98081664888e-14,2.49631084444e-05,2.43700719327e-11,7.09798837545e-14,1.09494715812e-12,5.98276582355e-13,1.0635471881e-06,1.41871954185e-08,4.49030679306e-08,7.70027330788e-09,8.65404482017e-14,1.39320954773e-08,4.07995459639e-09,5.06221795149e-06,5.2761386371e-09,3.96974586536e-09,7.98511951006e-12,5.77907277588e-10,4.16610529305e-15,0.999811828136,1.20951642799e-11,1.53363866745e-12,1.11317170759e-10,9.06932677829e-14,1.18801783393e-14,2.60150425507e-11,4.21464818601e-09,1.57859395857e-14,2.91127717636e-13,2.41245894789e-11,4.47069378046e-12,2.20251551372e-13,6.96541296863e-11,2.3792713676e-13,6.63832129796e-15,6.87963209079e-14,2.98765854723e-07,7.14203363117e-09,2.28228352016e-12,5.36091260273e-09,2.53683463125e-10,3.2391302085e-08,2.73751155208e-13,7.57797470607e-12,2.68359206385e-12,1.55476076458e-10,4.86048308264e-14,0.000145385900396,8.873587376e-08,5.33426494775e-15,3.01079633447e-10,2.69596356958e-14,1.46585608235e-11,1.26903557107e-11,2.98217136749e-12,4.28605588521e-11,3.88995720401e-13,2.45267538918e-11,2.76075234722e-12,3.14885140532e-12,5.40935395435e-12,1.73567029999e-16,1.71388923019e-12,4.5882686095e-08,6.20909519546e-13,2.04172385921e-13,5.6720366251e-12,2.43140896306e-10,4.73849562019e-12,1.56746360683e-13,3.36056269618e-13,2.29468222201e-10,1.03724368233e-14,4.07768645239e-11,2.58471130783e-12,2.49325270343e-15,3.31042172841e-11,2.46314996177e-10,2.00812241835e-10,1.63310947339e-13,4.50786430406e-08,7.36529240375e-12,1.34556810139e-08,2.98492242208e-14,3.48358467723e-13,5.03752595193e-08,1.45268545457e-11,6.50912479472e-09,3.36053333801e-15,2.33458001195e-12,4.17118020625e-14,5.80285548345e-13,1.98285401987e-10,1.30284390047e-12,4.86504037056e-09,1.09940019684e-05,2.35596199667e-12,9.58866097417e-14,1.16699631292e-07
13,1.8187557512e-14,7.79639477977e-11,2.76635408123e-19,7.29151438159e-19,8.6928370318e-13,1.43267351222e-16,1.6021353081e-13,5.6040822109e-15,8.93662477353e-09,1.4278531699e-12,2.04504195831e-14,5.52774181983e-08,9.66550407419e-13,1.91186538823e-10,0.999999880791,5.78701496445e-12,1.48515943987e-09,2.2931325892e-13,1.5337456782e-12,6.34543848062e-15,1.84214987015e-11,3.35715288246e-16,2.05020427718e-11,4.22927759259e-16,4.39964662323e-17,3.13202182288e-13,1.24005430924e-10,1.50388378915e-14,1.20792522577e-14,1.12737561121e-14,8.75167874516e-17,6.91166559968e-18,4.60112664462e-17,9.89893270028e-15,5.37054498685e-18,2.15072534435e-13,2.34506339992e-14,9.28281279291e-15,1.29648819553e-14,1.6306756428e-15,4.40219095985e-13,1.47263237303e-13,1.09227624936e-16,1.15185272887e-13,2.78037739079e-15,2.54468897106e-17,4.13587950466e-16,1.69409820373e-12,1.59535662458e-09,1.90747626028e-10,2.54499122285e-16,5.44452754636e-14,1.48863764079e-15,1.08802843037e-12,1.52387500549e-16,3.20346504075e-17,1.38919615828e-12,3.54806749133e-15,3.56293080197e-16,1.95952059917e-13,7.84965761011e-16,1.06046968573e-15,3.98052935285e-14,1.25746444507e-11,1.34311414055e-14,2.73193561293e-19,7.0966458621e-13,3.06975169178e-16,1.44686389903e-18,2.02047258183e-14,1.14384125408e-14,1.35387248287e-11,2.33845637353e-15,2.23170362534e-14,7.1194877771e-10,2.10498394419e-16,1.76077949984e-17,1.42371836542e-10,3.0350895408e-11,2.18847902582e-15,3.80878002748e-11,1.9608467381e-18,5.13540598934e-13,3.4619640054e-12,1.13677267943e-14,5.03251761298e-16,1.09417429137e-15,6.22963549774e-17,1.34835366613e-13,1.22406414432e-12,1.16609280497e-17,1.29829905507e-11,1.22561286719e-16,3.20525342379e-11,6.30567917759e-13,7.45189066009e-09,4.3516939705e-16,1.51467467041e-12,1.01907033634e-14
16,9.99701432747e-10,3.35300723852e-15,2.17483323017e-12,0.995405912399,2.21033102829e-18,1.05621311025e-17,1.55112630639e-12,2.46415648303e-11,1.04984087829e-12,3.92781006325e-18,4.98474950206e-09,5.13275809659e-14,5.82596548782e-08,2.57881077603e-11,5.08239804409e-12,2.21737047262e-14,8.54152564108e-14,2.02920649173e-08,4.03848288144e-09,7.2120352225e-12,5.07968179238e-13,1.83018408913e-13,2.13835676596e-12,1.63223841859e-14,8.60002113967e-09,1.63066313924e-11,9.57925128109e-11,5.85023718358e-09,8.53983984223e-12,1.63326058407e-13,1.37650346677e-09,8.05977229401e-11,2.88989582264e-10,1.7708058598e-13,3.10958536698e-10,6.3111756538e-17,1.17479608264e-07,1.84671666847e-10,2.94048639604e-11,2.16894890936e-10,3.99815540675e-08,2.45824878675e-07,4.57137843204e-12,0.000143312048749,3.20679351129e-11,7.71788904785e-07,1.36046269736e-11,1.3701506596e-10,4.92312457467e-09,1.24772736587e-09,1.89421298273e-05,1.1188006771e-10,2.99910152535e-06,2.98600921766e-09,4.10659394402e-14,3.0361864134e-09,2.4618894705e-13,4.34004117367e-11,7.20272282706e-06,1.448934462e-11,6.42285215235e-07,4.70588127385e-14,4.73073180629e-09,1.86599929952e-10,1.74882054367e-13,3.90276450046e-10,6.67689037739e-12,9.86498591149e-11,4.2821522328e-08,5.05807697948e-08,1.37200914489e-15,8.89751258781e-11,4.35376622337e-17,1.36044259191e-10,9.01617851017e-14,1.67402439133e-10,1.53071411102e-09,9.77784103684e-11,1.39705842377e-16,1.24804939716e-08,1.42769964687e-13,4.13329900084e-07,8.84265549672e-09,1.28577626324e-09,5.53157617367e-13,1.47130720052e-07,0.00441737938672,3.50091355905e-09,7.11308570011e-16,1.41638134554e-09,4.72454821931e-08,8.56474926536e-08,2.66972971508e-11,1.06369253683e-11,1.21864900393e-06,2.23709584191e-09,7.88437972687e-08,6.23820000101e-08,2.82879414337e-10
19,4.11832859482e-11,5.94483985981e-16,7.48532366732e-13,1.0,4.47073220379e-20,3.09519446048e-18,6.33044938559e-15,9.25272321801e-16,1.95173797574e-15,1.12262225625e-19,2.13349424932e-11,1.22521433984e-18,5.93893892398e-11,1.8446417504e-16,3.67522963602e-17,4.25632103849e-17,6.11451008827e-16,2.07941628326e-13,1.10854400204e-13,1.4935501566e-14,2.42887768275e-13,6.17581335667e-15,4.43665832343e-17,3.50230653635e-15,1.62854929195e-12,2.65498126956e-13,1.35940211826e-15,4.53761750125e-14,2.62855562884e-15,6.34023431019e-16,2.76463400783e-12,2.67974514107e-11,4.27893033506e-11,3.10413699428e-16,1.82233676933e-13,1.68584061729e-19,6.27159435496e-12,4.6911698701e-13,1.01216506964e-13,5.28626344087e-11,1.3774866664e-12,8.0142964487e-10,4.13666883349e-16,6.16542483733e-10,2.26580635764e-14,1.13488440867e-09,2.75571818647e-14,7.79832741351e-15,4.02111849406e-14,4.97474149565e-16,1.08419833111e-08,4.23282155854e-12,1.33432761368e-11,4.58504328255e-13,1.31100487911e-15,1.45875117541e-11,2.29253464111e-16,5.04370374184e-16,2.70022310067e-10,3.71018387996e-14,4.32358648883e-10,1.21851645163e-18,6.99408318262e-15,1.4928232541e-15,1.78900202486e-14,1.6544556003e-10,2.54555449976e-16,1.64694783393e-16,2.02016084416e-10,9.38965311753e-12,3.14850790532e-19,3.57105660079e-15,3.36791006647e-19,1.25566864018e-16,6.64592797146e-16,3.39081349533e-14,1.39219104994e-12,6.79437949519e-15,4.87603945946e-19,1.10974458789e-11,3.01082394051e-17,4.30315866273e-10,2.70630978565e-12,1.08861690821e-14,3.12873235349e-13,7.59948604045e-10,4.71457983764e-10,4.77813491898e-12,5.52748459768e-21,2.72329630634e-14,9.10215722238e-11,2.49801980316e-12,1.57269877866e-15,5.83393053037e-15,7.91871013206e-09,5.69439794593e-15,2.33268222447e-12,2.32059527844e-11,1.54635401706e-11
23,1.12535262125e-15,3.99737673518e-11,1.02989830206e-11,4.09676199215e-12,2.50492376841e-10,1.00216077215e-07,3.54781137801e-09,2.86124613585e-11,2.33574535988e-14,7.54318343898e-11,1.81487545092e-15,2.27468571756e-10,1.02047903683e-15,1.11440145306e-11,2.53982354896e-13,1.48490201468e-07,8.44030903671e-16,4.75771833497e-14,1.23106982941e-10,4.85253504046e-11,1.95700455841e-10,1.03458756319e-12,2.8481961234e-10,7.21962156724e-10,5.27353449797e-09,2.28211893827e-12,1.11905656183e-13,2.86574073594e-15,0.999997138977,2.20869128498e-06,1.82664535942e-07,7.49291909646e-16,5.66628601678e-12,3.30904678658e-11,5.19074843872e-12,5.10609887705e-10,7.05126549597e-13,1.68885028184e-09,2.92112195543e-10,4.67843042085e-10,4.04980519605e-12,4.07191402494e-18,3.0018121322e-10,1.78526963178e-12,6.29325532184e-15,3.51028177507e-15,2.60723951109e-13,2.11145933637e-13,5.69147756268e-13,2.3080883789e-14,1.14328099939e-12,1.8381227096e-11,3.4574113017e-10,2.30858492045e-11,1.00066318079e-11,1.25455228428e-08,6.3127947314e-10,6.0201214673e-12,3.66170093167e-17,1.10358099883e-13,3.01798690205e-12,6.60414691683e-12,3.39234022817e-12,1.20402490061e-11,2.34659982418e-11,1.23089648825e-13,1.27919053128e-09,1.92057966752e-11,4.35981383374e-13,2.72461497808e-09,5.0103019511e-09,4.83727169431e-10,1.48213025511e-13,9.47908751492e-10,2.26482346061e-14,1.01341927133e-14,6.11630468494e-11,1.51351533303e-12,2.12080210977e-14,4.40123687495e-10,1.76210406266e-07,9.20582429731e-11,3.76054547745e-13,2.84686926539e-15,3.54665908729e-14,2.32425607793e-15,1.80992796705e-12,9.07241060055e-10,2.4034472329e-12,5.42430006077e-14,4.73951322524e-14,5.30965347373e-14,2.17484655285e-10,2.73022021657e-11,3.82592639263e-17,5.98207920012e-18,6.77847155576e-13,1.17315426918e-14,1.18192886034e-11
24,1.40846348473e-10,3.08017457026e-12,1.06475544798e-13,8.60634856431e-15,2.73671233245e-12,1.15396286277e-11,4.08487197467e-17,1.81135931128e-16,1.68875365081e-11,2.81003231074e-14,1.32124180168e-15,3.30511806032e-16,1.1420047596e-16,7.94647534438e-20,4.23767830654e-15,1.09086171492e-14,1.00877214568e-11,3.0789128825e-15,1.47389820355e-19,3.98190003216e-16,7.56051471429e-12,3.40009692349e-16,1.32421983131e-21,1.65700542374e-16,1.6719796067e-21,1.59862182497e-17,4.32324401972e-12,1.36825826277e-13,6.40522861235e-19,4.52955136796e-17,1.10733608777e-19,1.55000456914e-10,1.665456076e-12,4.19077106188e-14,1.5017814466e-12,1.59723811724e-17,3.1722369874e-17,1.72735916825e-13,1.68481253254e-11,5.43661600114e-12,4.39566155556e-14,3.32483118728e-13,1.0373252821e-12,1.61347792673e-18,2.08484793286e-14,3.01717506502e-14,3.15069621163e-18,7.31752779573e-15,2.62106197799e-18,6.41497067411e-16,2.9539923025e-13,1.69517889309e-11,1.24215554163e-19,7.4385617621e-19,2.06506768066e-14,2.65441152131e-15,5.76995865819e-18,1.44346405022e-16,7.50662032534e-11,5.19584722469e-11,6.04684803765e-16,1.5087600665e-17,1.58888584065e-20,5.0932167219e-17,7.66635615667e-13,6.46570657122e-15,5.57535826487e-16,6.23401861568e-22,3.12027422129e-14,1.43069748756e-11,2.24220047976e-21,1.44634131527e-16,1.15213407933e-13,2.34648619789e-18,3.23826740162e-13,2.38603556943e-14,1.09368618864e-15,2.50420685114e-16,4.10848785548e-12,2.04041618433e-15,4.85688625781e-17,1.15649499458e-14,2.59451900068e-12,1.81885236039e-11,1.0,8.83177621883e-15,1.92387993313e-20,1.76349625875e-16,1.30612718695e-16,8.60946025843e-13,7.23114873102e-14,1.81909308604e-17,9.85967689279e-20,2.75648400707e-19,2.43510524245e-11,4.64117839901e-17,3.48412351416e-19,3.03806498332e-16,2.07093170803e-19
28,4.62231364295e-11,1.10472311854e-10,1.66648311361e-15,1.98293483447e-15,6.85388215366e-13,2.82909004383e-15,1.81367768026e-10,1.9790526995e-09,1.0,3.42348829949e-14,1.86545813519e-11,8.76749107342e-12,1.79197337524e-10,5.06947931442e-14,1.76403232299e-11,1.30560614945e-13,1.03842295873e-10,8.15438320166e-13,2.01948646607e-14,3.06906735269e-12,1.08651782016e-10,7.6627769512e-20,7.91221615487e-17,1.51504012511e-18,1.09438088842e-19,7.26525702197e-17,1.44417050746e-14,1.62888212353e-19,1.00748456211e-17,8.29063884432e-16,2.35113764127e-17,1.3340761296e-14,2.33277020747e-13,4.08787316063e-13,2.91129396064e-19,1.93786878905e-11,1.19054567671e-15,3.30870584837e-13,7.410304135e-17,5.60669471462e-14,2.44812240684e-14,5.26405254022e-13,2.97380774045e-16,3.7942235376e-17,1.68090761037e-13,2.91187904409e-14,1.47227561123e-17,6.14106764166e-15,2.18905883004e-12,1.56968643812e-12,4.47804448558e-17,2.01423820758e-15,2.16029235014e-17,8.72685170655e-15,1.06285872892e-16,2.69347795139e-15,4.06706873178e-17,2.11796617994e-18,1.05770232321e-15,1.05485807128e-14,9.85566343831e-18,9.37613941843e-20,6.52949285384e-19,9.58665621659e-15,9.73113056064e-14,1.06592076626e-15,1.45297103553e-17,1.57988718188e-19,2.57490392669e-15,1.18445235991e-16,9.91342959638e-18,2.77170085115e-14,4.8353814644e-19,1.08594587451e-14,1.66117640477e-12,1.60208407214e-16,4.33046467786e-16,9.70368991188e-16,2.50440293503e-12,1.58142639439e-17,8.75593868244e-13,3.91445821011e-16,9.03264117148e-13,4.11642527545e-16,1.57071439189e-11,3.1919426954e-14,1.73571873969e-16,3.99792313274e-18,1.06258597853e-18,5.51106903168e-11,1.09990880607e-13,3.49862283242e-14,3.90436787718e-13,1.49458487253e-10,6.32879082474e-09,9.97339103664e-12,2.69995063891e-21,2.93104303218e-17,2.06888284411e-15
