id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.001,0.001,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.003,0.007,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.002,0.007,0.0,0.0,0.0,0.0,0.014,0.004,0.0,0.0,0.0,0.013,0.009,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.006,0.0,0.104,0.0,0.0,0.001,0.001,0.438,0.0,0.004,0.008,0.009,0.031,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.059,0.0,0.007,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.022,0.08,0.0,0.001,0.039,0.0,0.001,0.0,0.0,0.055,0.019,0.0,0.0,0.0,0.017,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.001
7,0.002,0.0,0.021,0.02,0.002,0.012,0.051,0.001,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.008,0.0,0.047,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.002,0.015,0.0,0.03,0.002,0.015,0.005,0.021,0.003,0.003,0.005,0.001,0.004,0.0,0.017,0.002,0.001,0.404,0.0,0.0,0.002,0.002,0.003,0.0,0.008,0.021,0.005,0.0,0.002,0.0,0.01,0.0,0.001,0.0,0.0,0.003,0.033,0.0,0.002,0.0,0.0,0.0,0.0,0.024,0.0,0.004,0.003,0.001,0.004,0.014,0.0,0.006,0.021,0.014,0.041,0.0,0.006,0.012,0.001,0.002,0.0,0.009,0.002,0.016,0.0,0.003
9,0.003,0.559,0.002,0.0,0.04,0.004,0.0,0.004,0.02,0.023,0.008,0.005,0.005,0.006,0.038,0.001,0.057,0.003,0.001,0.002,0.006,0.0,0.001,0.0,0.0,0.002,0.034,0.001,0.001,0.0,0.0,0.009,0.008,0.008,0.0,0.014,0.0,0.0,0.0,0.001,0.0,0.021,0.004,0.0,0.009,0.001,0.0,0.002,0.008,0.004,0.0,0.003,0.0,0.006,0.011,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.002,0.0,0.007,0.0,0.001,0.0,0.0,0.001,0.001,0.004,0.0,0.001,0.0,0.004,0.003,0.002,0.004,0.001,0.0,0.001,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.002,0.0,0.001,0.011
12,0.003,0.015,0.0,0.017,0.0,0.0,0.01,0.007,0.015,0.012,0.0,0.012,0.034,0.026,0.005,0.015,0.003,0.011,0.001,0.265,0.005,0.0,0.004,0.0,0.001,0.001,0.002,0.0,0.002,0.0,0.0,0.001,0.005,0.0,0.0,0.003,0.007,0.001,0.003,0.002,0.001,0.041,0.0,0.005,0.001,0.004,0.0,0.057,0.052,0.004,0.015,0.0,0.001,0.0,0.001,0.004,0.0,0.0,0.004,0.038,0.002,0.0,0.002,0.055,0.0,0.003,0.0,0.014,0.002,0.002,0.001,0.025,0.002,0.008,0.0,0.001,0.003,0.003,0.001,0.004,0.008,0.001,0.005,0.0,0.002,0.014,0.007,0.002,0.0,0.006,0.002,0.001,0.0,0.0,0.025,0.053,0.0,0.0,0.03
13,0.017,0.018,0.0,0.001,0.002,0.0,0.0,0.008,0.102,0.011,0.004,0.166,0.044,0.016,0.416,0.002,0.01,0.007,0.003,0.0,0.011,0.0,0.001,0.0,0.0,0.001,0.003,0.002,0.001,0.0,0.0,0.001,0.002,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.002,0.025,0.036,0.002,0.0,0.001,0.007,0.001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.005,0.0,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.004,0.004,0.003,0.011,0.0,0.0,0.004
16,0.001,0.0,0.002,0.248,0.0,0.0,0.003,0.004,0.004,0.0,0.0,0.0,0.005,0.001,0.0,0.002,0.0,0.015,0.004,0.019,0.0,0.0,0.001,0.0,0.001,0.0,0.002,0.009,0.0,0.001,0.004,0.0,0.002,0.0,0.01,0.0,0.01,0.0,0.003,0.004,0.003,0.005,0.005,0.076,0.005,0.064,0.0,0.002,0.002,0.002,0.031,0.0,0.019,0.0,0.0,0.001,0.0,0.001,0.023,0.012,0.023,0.004,0.005,0.008,0.002,0.0,0.0,0.005,0.007,0.042,0.0,0.001,0.0,0.03,0.0,0.002,0.003,0.0,0.0,0.019,0.0,0.03,0.0,0.001,0.002,0.011,0.048,0.003,0.0,0.007,0.013,0.001,0.003,0.0,0.039,0.008,0.068,0.001,0.008
19,0.002,0.0,0.004,0.504,0.0,0.001,0.0,0.0,0.003,0.0,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.006,0.001,0.01,0.002,0.0,0.0,0.001,0.0,0.002,0.001,0.002,0.002,0.003,0.005,0.0,0.004,0.0,0.016,0.0,0.008,0.001,0.008,0.003,0.004,0.003,0.004,0.024,0.001,0.029,0.0,0.0,0.003,0.0,0.016,0.0,0.003,0.001,0.001,0.0,0.0,0.0,0.005,0.008,0.012,0.005,0.0,0.002,0.001,0.002,0.0,0.003,0.012,0.045,0.0,0.004,0.0,0.009,0.0,0.001,0.004,0.001,0.0,0.023,0.002,0.021,0.0,0.0,0.005,0.011,0.015,0.002,0.0,0.001,0.009,0.007,0.001,0.0,0.033,0.004,0.051,0.0,0.017
23,0.002,0.0,0.003,0.01,0.001,0.006,0.004,0.001,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.087,0.0,0.002,0.007,0.0,0.004,0.002,0.005,0.054,0.013,0.019,0.0,0.0,0.316,0.157,0.019,0.0,0.001,0.001,0.005,0.0,0.001,0.004,0.01,0.002,0.001,0.0,0.006,0.009,0.0,0.003,0.0,0.0,0.0,0.0,0.006,0.0,0.003,0.0,0.002,0.017,0.0,0.001,0.0,0.0,0.013,0.012,0.003,0.0,0.001,0.006,0.004,0.008,0.021,0.012,0.015,0.012,0.001,0.013,0.0,0.0,0.002,0.001,0.0,0.043,0.001,0.01,0.0,0.0,0.001,0.0,0.012,0.001,0.0,0.0,0.007,0.002,0.002,0.0,0.0,0.0,0.005,0.0,0.004
24,0.001,0.018,0.003,0.0,0.002,0.015,0.0,0.0,0.001,0.001,0.008,0.0,0.001,0.0,0.002,0.019,0.01,0.001,0.0,0.003,0.006,0.014,0.001,0.0,0.0,0.0,0.017,0.005,0.0,0.0,0.0,0.018,0.019,0.003,0.002,0.002,0.002,0.002,0.001,0.006,0.002,0.014,0.011,0.0,0.019,0.0,0.0,0.0,0.001,0.003,0.008,0.0,0.001,0.001,0.007,0.0,0.0,0.002,0.003,0.004,0.0,0.0,0.0,0.001,0.005,0.003,0.005,0.0,0.012,0.003,0.0,0.0,0.018,0.0,0.002,0.005,0.001,0.006,0.006,0.002,0.001,0.0,0.002,0.018,0.633,0.002,0.0,0.0,0.0,0.004,0.002,0.001,0.001,0.0,0.004,0.0,0.0,0.004,0.0
28,0.011,0.008,0.001,0.003,0.001,0.0,0.002,0.022,0.742,0.005,0.002,0.007,0.034,0.005,0.005,0.003,0.001,0.011,0.002,0.001,0.003,0.0,0.003,0.0,0.0,0.001,0.004,0.001,0.003,0.001,0.0,0.0,0.008,0.012,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.014,0.003,0.001,0.0,0.001,0.003,0.005,0.004,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.005,0.003,0.004,0.011,0.014,0.0,0.001,0.007
